,YEAR,QUARTER,AIRLINE NAME,WEEK,ORIGIN,DEST,DEP_TIME,AIR_TIME,FLIGHTS,DISTANCE
449632,2019,1,OMAN AIR,2,Aguadilla,Fort Lauderdale  ,406,147,1,982
452016,2019,1,PAK INTERNATIONAL,5,Aguadilla,Fort Lauderdale  ,419,141,1,982
452745,2019,1,QATAR AIRWATYS,6,Aguadilla,Fort Lauderdale  ,423,126,1,982
453468,2019,1,REGENT AIRWAYS,7,Aguadilla,Fort Lauderdale  ,425,142,1,982
210978,2019,1,SAFI AIRWAYS,6,Aguadilla,New York  ,613,201,1,1576
211697,2019,1,SAUDIA,7,Aguadilla,New York  ,605,196,1,1576
212492,2019,1,SILK AIR,1,Aguadilla,New York  ,635,187,1,1576
213285,2019,1,SINGAPORE AIRLINES,2,Aguadilla,New York  ,610,192,1,1576
214068,2019,1,SOUTHA AFRICAN AIRLINES,3,Aguadilla,New York  ,601,202,1,1576
214677,2019,1,SRILNKAN AIRWAYS,2,Aguadilla,New York  ,551,218,1,1576
214716,2019,1,SWISS AIR,2,Aguadilla,New York  ,1009,223,1,1576
215525,2019,1,TAJIK AIR,3,Aguadilla,New York  ,546,210,1,1576
215562,2019,1,THAI AIRWAYS,3,Aguadilla,New York  ,1016,209,1,1576
216391,2019,1,TIGER AIRWAYS,4,Aguadilla,New York  ,655,203,1,1576
216429,2019,1,TRANSAERO AIRLINES,4,Aguadilla,New York  ,1016,211,1,1576
217241,2019,1,TURKISH AIRLINES,5,Aguadilla,New York  ,543,214,1,1576
217276,2019,1,TURKMENISTAN AIRLINES,5,Aguadilla,New York  ,1021,191,1,1576
218027,2019,1,UNITED AIRLINES,6,Aguadilla,New York  ,652,199,1,1576
218809,2019,1,UNITED AIRLINES BANGLADESH LTD.,7,Aguadilla,New York  ,552,208,1,1576
219651,2019,1,UNITED PARCEL SERVICES,1,Aguadilla,New York  ,555,205,1,1576
220452,2019,1,UZBEKISTAN AIRWAYS,2,Aguadilla,New York  ,600,204,1,1576
221227,2019,1,VIRGIN ATLANTIC AIRLINES,3,Aguadilla,New York  ,553,206,1,1576
222025,2019,1,YEMENIA AIRWAYS,4,Aguadilla,New York  ,617,217,1,1576
222643,2019,1,AIR INDIA,4,Aguadilla,New York  ,652,215,1,1576
446517,2019,1,AIR INDIA EXPRESS,5,Aguadilla,New York  ,617,219,1,1576
447249,2019,1,INDIGO,6,Aguadilla,New York  ,611,,1,1576
447960,2019,1,JET AIRWAYS,7,Aguadilla,New York  ,558,255,1,1576
448747,2019,1,SPICEJET,1,Aguadilla,New York  ,600,221,1,1576
449537,2019,1,AEROFLOT,2,Aguadilla,New York  ,556,225,1,1576
72324,2019,1,AEROLOGIC,5,Aguadilla,Newark  ,245,199,1,1585
73852,2019,1,AIR ARABIA,4,Aguadilla,Newark  ,202,206,1,1585
75376,2019,1,AIR ASIA BERHAD,3,Aguadilla,Newark  ,152,214,1,1585
76998,2019,1,AIR AUSTRAL,2,Aguadilla,Newark  ,221,204,1,1585
78546,2019,1,AIR CHINA,1,Aguadilla,Newark  ,426,213,1,1585
80249,2019,1,AIR FRANCE,7,Aguadilla,Newark  ,157,198,1,1585
81863,2019,1,AIR MANAS,6,Aguadilla,Newark  ,149,194,1,1585
84005,2019,1,AIR MAURITIUS,4,Aguadilla,Newark  ,148,207,1,1585
352134,2019,1,AIR ASTANA,2,Aguadilla,Newark  ,216,234,1,1585
353813,2019,1,AIR SEYCHELLES,3,Aguadilla,Newark  ,211,216,1,1585
355318,2019,1,ALL NIPPON AIRWAYS,2,Aguadilla,Newark  ,208,201,1,1585
356811,2019,1,ARIANA AFGHAN,1,Aguadilla,Newark  ,150,192,1,1585
358293,2019,1,ASIANA AIRLINES,7,Aguadilla,Newark  ,140,222,1,1585
359692,2019,1,AUSTRIAN AIRLINES,6,Aguadilla,Newark  ,142,237,1,1585
361133,2019,1,BANGKOK AIRWAYS,5,Aguadilla,Newark  ,241,209,1,1585
362669,2019,1,BHUTAN AIRLINES,4,Aguadilla,Newark  ,226,203,1,1585
364199,2019,1,BIMAN BANGLADESH,3,Aguadilla,Newark  ,150,227,1,1585
366405,2019,1,BRITISH AIRWAYS,6,Aguadilla,Newark  ,151,205,1,1585
367916,2019,1,BUDHHA AIR,3,Aguadilla,Newark  ,144,230,1,1585
369413,2019,1,CATHAY PACIFIC,2,Aguadilla,Newark  ,148,197,1,1585
370905,2019,1,CHINA AIRLINES LTD,1,Aguadilla,Newark  ,146,210,1,1585
372386,2019,1,CHINA EASTERN AIRLINES,7,Aguadilla,Newark  ,139,202,1,1585
571113,2019,1,CHINA SOUTHERN ,1,Aguadilla,Newark  ,306,215,1,1585
572556,2019,1,DELTA AIRLINES,7,Aguadilla,Newark  ,131,208,1,1585
573844,2019,1,DRAGON AIR,6,Aguadilla,Newark  ,144,211,1,1585
210904,2019,1,DRUK AIR,6,Aguadilla,Orlando  ,418,157,1,1129
211303,2019,1,EGYPT AIR,6,Aguadilla,Orlando  ,1717,162,1,1129
211607,2019,1,EL-AL-ISRAEL,7,Aguadilla,Orlando  ,243,153,1,1129
212076,2019,1,EMIRATES AIRLINE,7,Aguadilla,Orlando  ,1725,152,1,1129
212397,2019,1,ETHIOPIAN AIRLINES,1,Aguadilla,Orlando  ,451,150,1,1129
212887,2019,1,ETIHAD AIRLINES,1,Aguadilla,Orlando  ,1718,156,1,1129
213193,2019,1,EVA AIRWAYS,2,Aguadilla,Orlando  ,258,145,1,1129
213973,2019,1,FEDERAL EXPRESS,3,Aguadilla,Orlando  ,255,151,1,1129
214584,2019,1,FINN AIR,2,Aguadilla,Orlando  ,245,143,1,1129
215088,2019,1,FLY DUBAI,2,Aguadilla,Orlando  ,408,137,1,1129
215430,2019,1,GULF AIR,3,Aguadilla,Orlando  ,231,138,1,1129
215936,2019,1,IRAN AIR,3,Aguadilla,Orlando  ,402,141,1,1129
216298,2019,1,IRAQI AIRWAYS,4,Aguadilla,Orlando  ,227,146,1,1129
216797,2019,1,ISLAND AVIATION SERVICES,4,Aguadilla,Orlando  ,408,136,1,1129
217146,2019,1,JAPAN AIRLINES,5,Aguadilla,Orlando  ,248,140,1,1129
217944,2019,1,KALITTA AIR,6,Aguadilla,Orlando  ,302,148,1,1129
218718,2019,1,KAM AIR,7,Aguadilla,Orlando  ,253,142,1,1129
219552,2019,1,KENYA AIRWAYS,1,Aguadilla,Orlando  ,301,155,1,1129
220363,2019,1,KLM AIRLINES,2,Aguadilla,Orlando  ,251,161,1,1129
221136,2019,1,KOREAN AIR,3,Aguadilla,Orlando  ,501,160,1,1129
221935,2019,1,KUWAIT AIRWAYS,4,Aguadilla,Orlando  ,241,149,1,1129
222548,2019,1,LUFTHANSA,4,Aguadilla,Orlando  ,306,158,1,1129
223037,2019,1,MAHAN AIR,4,Aguadilla,Orlando  ,1729,159,1,1129
446110,2019,1,MALAYSIA AIRLINES,4,Aguadilla,Orlando  ,1744,154,1,1129
446427,2019,1,MALINDO AIRWAYS,5,Aguadilla,Orlando  ,352,165,1,1129
446917,2019,1,MARTIN AIR HOLLAND,5,Aguadilla,Orlando  ,1721,144,1,1129
447179,2019,1,MIHIN LANKA,6,Aguadilla,Orlando  ,251,166,1,1129
447574,2019,1,MYANMAR AIRLINES,6,Aguadilla,Orlando  ,1720,167,1,1129
290,2019,1,NEPAL AIRLINES CORPORATION,3,Akron,Atlanta ,552,80,1,528
291,2019,1,OMAN AIR,4,Akron,Atlanta ,555,81,1,528
292,2019,1,PAK INTERNATIONAL,5,Akron,Atlanta ,553,93,1,528
2346,2019,1,QATAR AIRWATYS,2,Akron,Atlanta ,1348,85,1,528
226675,2019,1,REGENT AIRWAYS,6,Akron,Atlanta ,629,74,1,528
275262,2019,1,SAFI AIRWAYS,4,Akron,Atlanta ,555,92,1,528
277894,2019,1,SAUDIA,5,Akron,Atlanta ,559,77,1,528
279595,2019,1,SILK AIR,6,Akron,Atlanta ,635,88,1,528
281370,2019,1,SINGAPORE AIRLINES,7,Akron,Atlanta ,727,76,1,528
283002,2019,1,SOUTHA AFRICAN AIRLINES,7,Akron,Atlanta ,604,79,1,528
285522,2019,1,SRILNKAN AIRWAYS,1,Akron,Atlanta ,600,100,1,528
288219,2019,1,SWISS AIR,2,Akron,Atlanta ,550,87,1,528
290772,2019,1,TAJIK AIR,3,Akron,Atlanta ,555,84,1,528
293131,2019,1,THAI AIRWAYS,3,Akron,Atlanta ,553,86,1,528
295752,2019,1,TIGER AIRWAYS,4,Akron,Atlanta ,609,91,1,528
298019,2019,1,TRANSAERO AIRLINES,2,Akron,Atlanta ,555,75,1,528
300575,2019,1,TURKISH AIRLINES,3,Akron,Atlanta ,557,73,1,528
302301,2019,1,TURKMENISTAN AIRLINES,6,Akron,Atlanta ,633,95,1,528
304855,2019,1,UNITED AIRLINES,7,Akron,Atlanta ,557,72,1,528
308076,2019,1,UNITED AIRLINES BANGLADESH LTD.,4,Akron,Atlanta ,604,94,1,528
310713,2019,1,UNITED PARCEL SERVICES,5,Akron,Atlanta ,612,82,1,528
312476,2019,1,UZBEKISTAN AIRWAYS,6,Akron,Atlanta ,634,89,1,528
379707,2019,1,VIRGIN ATLANTIC AIRLINES,2,Akron,Atlanta ,557,123,1,528
385028,2019,1,YEMENIA AIRWAYS,3,Akron,Atlanta ,1352,99,1,528
385029,2019,1,AIR INDIA,4,Akron,Atlanta ,1159,70,1,528
385030,2019,1,AIR INDIA EXPRESS,5,Akron,Atlanta ,1218,66,1,528
199263,2019,1,INDIGO,2,Akron,Charlotte ,1105,72,1,394
199264,2019,1,JET AIRWAYS,3,Akron,Charlotte ,1103,69,1,394
199265,2019,1,SPICEJET,4,Akron,Charlotte ,1103,71,1,394
199266,2019,1,AEROFLOT,5,Akron,Charlotte ,1104,77,1,394
199267,2019,1,AEROLOGIC,7,Akron,Charlotte ,1059,68,1,394
199268,2019,1,AIR ARABIA,1,Akron,Charlotte ,1059,62,1,394
199269,2019,1,AIR ASIA BERHAD,2,Akron,Charlotte ,1055,64,1,394
199270,2019,1,AIR AUSTRAL,3,Akron,Charlotte ,1055,63,1,394
199271,2019,1,AIR CHINA,4,Akron,Charlotte ,1056,70,1,394
199272,2019,1,AIR FRANCE,5,Akron,Charlotte ,1104,66,1,394
199273,2019,1,AIR MANAS,7,Akron,Charlotte ,1101,61,1,394
199274,2019,1,AIR MAURITIUS,1,Akron,Charlotte ,1138,,1,394
199275,2019,1,AIR ASTANA,2,Akron,Charlotte ,1100,65,1,394
199276,2019,1,AIR SEYCHELLES,3,Akron,Charlotte ,1105,73,1,394
199277,2019,1,ALL NIPPON AIRWAYS,4,Akron,Charlotte ,1059,75,1,394
199278,2019,1,ARIANA AFGHAN,5,Akron,Charlotte ,1111,59,1,394
199279,2019,1,ASIANA AIRLINES,7,Akron,Charlotte ,,67,1,394
199280,2019,1,AUSTRIAN AIRLINES,1,Akron,Charlotte ,1105,85,1,394
199281,2019,1,BANGKOK AIRWAYS,2,Akron,Charlotte ,1116,90,1,394
199282,2019,1,BHUTAN AIRLINES,3,Akron,Charlotte ,1104,74,1,394
199283,2019,1,BIMAN BANGLADESH,4,Akron,Charlotte ,1102,78,1,394
199284,2019,1,BRITISH AIRWAYS,5,Akron,Charlotte ,1104,79,1,394
199285,2019,1,BUDHHA AIR,7,Akron,Charlotte ,1055,83,1,394
199286,2019,1,CATHAY PACIFIC,1,Akron,Charlotte ,1055,58,1,394
199287,2019,1,CHINA AIRLINES LTD,2,Akron,Charlotte ,1055,60,1,394
199288,2019,1,CHINA EASTERN AIRLINES,3,Akron,Charlotte ,1105,76,1,394
199289,2019,1,CHINA SOUTHERN ,4,Akron,Charlotte ,1051,57,1,394
202227,2019,1,DELTA AIRLINES,2,Akron,Charlotte ,,81,1,394
444367,2019,1,DRAGON AIR,4,Akron,Charlotte ,937,,,
135883,2019,1,DRUK AIR,2,Akron,Chicago  ,644,70,1,343
135884,2019,1,EGYPT AIR,3,Akron,Chicago  ,517,64,1,343
135885,2019,1,EL-AL-ISRAEL,4,Akron,Chicago  ,520,60,1,343
135886,2019,1,EMIRATES AIRLINE,5,Akron,Chicago  ,522,57,1,343
135887,2019,1,ETHIOPIAN AIRLINES,6,Akron,Chicago  ,519,56,1,343
135888,2019,1,ETIHAD AIRLINES,7,Akron,Chicago  ,517,64,1,343
135889,2019,1,EVA AIRWAYS,1,Akron,Chicago  ,521,65,1,343
135890,2019,1,FEDERAL EXPRESS,2,Akron,Chicago  ,521,62,1,343
135891,2019,1,FINN AIR,3,Akron,Chicago  ,528,59,1,343
135892,2019,1,FLY DUBAI,4,Akron,Chicago  ,529,60,1,343
135893,2019,1,GULF AIR,5,Akron,Chicago  ,520,61,1,343
135894,2019,1,IRAN AIR,6,Akron,Chicago  ,537,64,1,343
135895,2019,1,IRAQI AIRWAYS,7,Akron,Chicago  ,526,65,1,343
135896,2019,1,ISLAND AVIATION SERVICES,1,Akron,Chicago  ,528,60,1,343
135897,2019,1,JAPAN AIRLINES,2,Akron,Chicago  ,524,61,1,343
135898,2019,1,KALITTA AIR,3,Akron,Chicago  ,524,60,1,343
135899,2019,1,KAM AIR,4,Akron,Chicago  ,530,68,1,343
135900,2019,1,KENYA AIRWAYS,5,Akron,Chicago  ,522,60,1,343
135901,2019,1,KLM AIRLINES,6,Akron,Chicago  ,,,1,343
135902,2019,1,KOREAN AIR,7,Akron,Chicago  ,848,62,1,343
135903,2019,1,KUWAIT AIRWAYS,1,Akron,Chicago  ,634,70,1,343
135904,2019,1,LUFTHANSA,2,Akron,Chicago  ,520,66,1,343
135905,2019,1,MAHAN AIR,3,Akron,Chicago  ,533,66,1,343
135906,2019,1,MALAYSIA AIRLINES,4,Akron,Chicago  ,627,61,1,343
135907,2019,1,MALINDO AIRWAYS,5,Akron,Chicago  ,523,65,1,343
135908,2019,1,MARTIN AIR HOLLAND,6,Akron,Chicago  ,518,61,1,343
135909,2019,1,MIHIN LANKA,7,Akron,Chicago  ,525,66,1,343
135910,2019,1,MYANMAR AIRLINES,1,Akron,Chicago  ,,,1,343
135911,2019,1,NEPAL AIRLINES CORPORATION,2,Akron,Chicago  ,525,62,1,343
135912,2019,1,OMAN AIR,3,Akron,Chicago  ,610,64,1,343
135913,2019,1,PAK INTERNATIONAL,4,Akron,Chicago  ,,,1,343
135940,2019,1,QATAR AIRWATYS,2,Akron,Chicago  ,1458,74,1,343
135941,2019,1,REGENT AIRWAYS,3,Akron,Chicago  ,1546,69,1,343
135942,2019,1,SAFI AIRWAYS,4,Akron,Chicago  ,1455,59,1,343
135943,2019,1,SAUDIA,5,Akron,Chicago  ,1453,57,1,343
135944,2019,1,SILK AIR,6,Akron,Chicago  ,1450,62,1,343
135945,2019,1,SINGAPORE AIRLINES,7,Akron,Chicago  ,1437,72,1,343
135946,2019,1,SOUTHA AFRICAN AIRLINES,1,Akron,Chicago  ,1439,65,1,343
135947,2019,1,SRILNKAN AIRWAYS,3,Akron,Chicago  ,1438,64,1,343
135948,2019,1,SWISS AIR,4,Akron,Chicago  ,1438,57,1,343
135949,2019,1,TAJIK AIR,5,Akron,Chicago  ,1440,67,1,343
135950,2019,1,THAI AIRWAYS,7,Akron,Chicago  ,1456,67,1,343
135951,2019,1,TIGER AIRWAYS,1,Akron,Chicago  ,1439,60,1,343
135952,2019,1,TRANSAERO AIRLINES,3,Akron,Chicago  ,1435,65,1,343
135953,2019,1,TURKISH AIRLINES,4,Akron,Chicago  ,1514,57,1,343
135954,2019,1,TURKMENISTAN AIRLINES,7,Akron,Chicago  ,1502,65,1,343
135955,2019,1,UNITED AIRLINES,1,Akron,Chicago  ,1511,72,1,343
135956,2019,1,UNITED AIRLINES BANGLADESH LTD.,3,Akron,Chicago  ,1724,71,1,343
135957,2019,1,UNITED PARCEL SERVICES,4,Akron,Chicago  ,1612,65,1,343
135958,2019,1,UZBEKISTAN AIRWAYS,5,Akron,Chicago  ,1540,68,1,343
135959,2019,1,VIRGIN ATLANTIC AIRLINES,7,Akron,Chicago  ,1504,63,1,343
556560,2019,1,YEMENIA AIRWAYS,2,Akron,Chicago  ,1911,73,1,343
556561,2019,1,AIR INDIA,3,Akron,Chicago  ,1834,67,1,343
556562,2019,1,AIR INDIA EXPRESS,4,Akron,Chicago  ,1810,67,1,343
556563,2019,1,INDIGO,5,Akron,Chicago  ,1842,57,1,343
556564,2019,1,JET AIRWAYS,6,Akron,Chicago  ,1830,64,1,343
556565,2019,1,SPICEJET,7,Akron,Chicago  ,1903,69,1,343
469282,2019,1,AEROFLOT,3,Akron,Fort Myers  ,555,139,1,991
469283,2019,1,AEROLOGIC,5,Akron,Fort Myers  ,615,150,1,991
469284,2019,1,AIR ARABIA,6,Akron,Fort Myers  ,548,130,1,991
469285,2019,1,AIR ASIA BERHAD,1,Akron,Fort Myers  ,545,129,1,991
469286,2019,1,AIR AUSTRAL,3,Akron,Fort Myers  ,552,127,1,991
469287,2019,1,AIR CHINA,5,Akron,Fort Myers  ,555,124,1,991
469288,2019,1,AIR FRANCE,6,Akron,Fort Myers  ,547,136,1,991
469289,2019,1,AIR MANAS,1,Akron,Fort Myers  ,552,133,1,991
469290,2019,1,AIR MAURITIUS,5,Akron,Fort Myers  ,550,130,1,991
469291,2019,1,AIR ASTANA,6,Akron,Fort Myers  ,607,139,1,991
469292,2019,1,AIR SEYCHELLES,1,Akron,Fort Myers  ,600,118,1,991
469293,2019,1,ALL NIPPON AIRWAYS,5,Akron,Fort Myers  ,622,145,1,991
469294,2019,1,ARIANA AFGHAN,6,Akron,Fort Myers  ,557,143,1,991
469295,2019,1,ASIANA AIRLINES,1,Akron,Fort Myers  ,559,143,1,991
327852,2019,1,AUSTRIAN AIRLINES,2,Akron,Houston  ,629,183,1,1085
327853,2019,1,BANGKOK AIRWAYS,3,Akron,Houston  ,633,201,1,1085
327854,2019,1,BHUTAN AIRLINES,4,Akron,Houston  ,653,,1,1085
327855,2019,1,BIMAN BANGLADESH,5,Akron,Houston  ,659,161,1,1085
327856,2019,1,BRITISH AIRWAYS,6,Akron,Houston  ,638,145,1,1085
327857,2019,1,BUDHHA AIR,7,Akron,Houston  ,630,167,1,1085
327858,2019,1,CATHAY PACIFIC,1,Akron,Houston  ,627,162,1,1085
327859,2019,1,CHINA AIRLINES LTD,2,Akron,Houston  ,621,168,1,1085
327860,2019,1,CHINA EASTERN AIRLINES,3,Akron,Houston  ,625,163,1,1085
327861,2019,1,CHINA SOUTHERN ,4,Akron,Houston  ,634,152,1,1085
327862,2019,1,DRAGON AIR,5,Akron,Houston  ,633,167,1,1085
327863,2019,1,DRUK AIR,6,Akron,Houston  ,619,180,1,1085
327864,2019,1,EGYPT AIR,7,Akron,Houston  ,633,158,1,1085
327865,2019,1,EL-AL-ISRAEL,1,Akron,Houston  ,634,162,1,1085
327866,2019,1,EMIRATES AIRLINE,2,Akron,Houston  ,623,165,1,1085
327867,2019,1,ETHIOPIAN AIRLINES,3,Akron,Houston  ,637,153,1,1085
327868,2019,1,ETIHAD AIRLINES,4,Akron,Houston  ,626,169,1,1085
327869,2019,1,EVA AIRWAYS,5,Akron,Houston  ,634,176,1,1085
327870,2019,1,FEDERAL EXPRESS,6,Akron,Houston  ,626,197,1,1085
327871,2019,1,FINN AIR,7,Akron,Houston  ,,,1,1085
327872,2019,1,FLY DUBAI,1,Akron,Houston  ,1004,165,1,1085
327873,2019,1,GULF AIR,2,Akron,Houston  ,752,173,1,1085
327874,2019,1,IRAN AIR,3,Akron,Houston  ,739,197,1,1085
327875,2019,1,IRAQI AIRWAYS,4,Akron,Houston  ,838,173,1,1085
327876,2019,1,ISLAND AVIATION SERVICES,5,Akron,Houston  ,635,179,1,1085
327877,2019,1,JAPAN AIRLINES,6,Akron,Houston  ,621,173,1,1085
327878,2019,1,KALITTA AIR,7,Akron,Houston  ,633,160,1,1085
327879,2019,1,KAM AIR,1,Akron,Houston  ,626,167,1,1085
327880,2019,1,KENYA AIRWAYS,2,Akron,Houston  ,633,163,1,1085
327881,2019,1,KLM AIRLINES,3,Akron,Houston  ,633,183,1,1085
327882,2019,1,KOREAN AIR,4,Akron,Houston  ,627,177,1,1085
204289,2019,1,KUWAIT AIRWAYS,7,Akron,New York  ,712,61,1,397
204290,2019,1,LUFTHANSA,7,Akron,New York  ,700,65,1,397
204291,2019,1,MAHAN AIR,7,Akron,New York  ,743,,1,397
204292,2019,1,MALAYSIA AIRLINES,7,Akron,New York  ,705,62,1,397
439700,2019,1,MALINDO AIRWAYS,3,Akron,New York  ,559,56,1,397
439701,2019,1,MIHIN LANKA,4,Akron,New York  ,606,61,1,397
439702,2019,1,MYANMAR AIRLINES,5,Akron,New York  ,608,64,1,397
439703,2019,1,NEPAL AIRLINES CORPORATION,1,Akron,New York  ,559,62,1,397
439704,2019,1,OMAN AIR,2,Akron,New York  ,559,67,1,397
439705,2019,1,PAK INTERNATIONAL,3,Akron,New York  ,603,66,1,397
439706,2019,1,QATAR AIRWATYS,4,Akron,New York  ,614,80,1,397
439707,2019,1,REGENT AIRWAYS,5,Akron,New York  ,602,62,1,397
439708,2019,1,SAFI AIRWAYS,1,Akron,New York  ,602,63,1,397
439709,2019,1,SAUDIA,2,Akron,New York  ,622,64,1,397
439710,2019,1,SILK AIR,3,Akron,New York  ,612,70,1,397
439711,2019,1,SINGAPORE AIRLINES,4,Akron,New York  ,601,60,1,397
439712,2019,1,SRILNKAN AIRWAYS,5,Akron,New York  ,603,61,1,397
439713,2019,1,SWISS AIR,1,Akron,New York  ,607,63,1,397
439714,2019,1,TAJIK AIR,2,Akron,New York  ,612,70,1,397
439715,2019,1,THAI AIRWAYS,3,Akron,New York  ,608,66,1,397
439716,2019,1,TIGER AIRWAYS,4,Akron,New York  ,605,77,1,397
439717,2019,1,TRANSAERO AIRLINES,5,Akron,New York  ,610,61,1,397
439718,2019,1,TURKISH AIRLINES,1,Akron,New York  ,610,62,1,397
439719,2019,1,TURKMENISTAN AIRLINES,2,Akron,New York  ,558,59,1,397
439720,2019,1,UNITED AIRLINES,3,Akron,New York  ,607,65,1,397
439721,2019,1,UNITED AIRLINES BANGLADESH LTD.,4,Akron,New York  ,600,69,1,397
553189,2019,1,UNITED PARCEL SERVICES,7,Akron,Newark  ,858,66,1,382
